timestamp,open,high,low,close,volume,MA_7,MA_25,MA_99,EMA_7,EMA_30,MACD,Signal_Line,RSI_6,RSI_14,trend
2/4/2018,9199.96,9368,7930,8184.81,32014.30845,9607.99,11306.3904,11575.52475,9447.082499,11443.40861,-1166.473518,-957.1057541,9.816446191,25.60395915,0
2/5/2018,8179.99,8382.8,6625,6939.99,63403.18258,8992.131429,11054.4388,11583.30263,8820.309375,11152.86548,-1329.00976,-1031.486555,9.255268673,23.94541992,0
2/6/2018,6939.63,7878,6000.01,7652.14,100201.5003,8622.792857,10810.924,11598.77374,8528.267031,10927.01222,-1384.397872,-1102.068818,22.05590178,30.34058397,0
2/7/2018,7655.02,8476,7150.01,7599,60778.4605,8239.064286,10546.484,11610.24848,8295.950273,10712.30175,-1416.255591,-1164.906173,28.05533955,25.01415491,0
2/8/2018,7599,7844,7572.09,7784.02,1521.537318,8033.278571,10318.8452,11620.65293,8167.967705,10523.38035,-1410.316247,-1213.988188,34.60637056,27.44138585,0
2/9/2018,7789.9,8738,7789.9,8683.92,20482.91083,8006.262857,10124.6048,11637.4604,8296.955779,10404.70549,-1317.80404,-1234.751358,43.72241605,35.56402278,0
2/10/2018,8683.93,9065.78,8120,8533.98,49381.51265,7911.122857,10029.964,11651.79313,8356.211834,10284.01352,-1242.266283,-1236.254343,55.38017301,31.69730506,0
2/11/2018,8533.99,8549,7726.53,8063.88,45025.18795,7893.847143,9912.9676,11658.93242,8283.128876,10140.7791,-1206.428253,-1230.289125,72.74850724,26.61506879,0
2/12/2018,8063.82,8989,8053,8903,41987.85049,8174.277143,9830.6088,11674.6697,8438.096657,10060.92239,-1097.663206,-1203.763941,74.08074788,35.97274363,0
2/13/2018,8903,8950,8351,8539.9,35454.97296,8301.1,9713.2056,11690.62707,8463.547492,9962.791909,-1028.904686,-1168.79209,66.18234853,39.00373493,0
2/14/2018,8535.17,9489.6,8533,9449.99,40811.95287,8565.527143,9579.2076,11714.72758,8710.158119,9929.707915,-890.7088693,-1113.175446,72.93303049,45.13425928,0
2/15/2018,9449.98,10219.5,9301.5,10000.09,52427.59672,8882.108571,9518.0112,11741.97091,9032.64109,9934.248695,-728.4026438,-1036.220886,70.04859175,54.80464128,0
2/16/2018,10000.89,10323.37,9666,10159.98,38161.20597,9092.974286,9494.0084,11773.08192,9314.475817,9948.812005,-580.184004,-945.0135093,74.6932329,58.16649639,0
2/17/2018,10156.07,11075.07,10050,11039.55,41882.10841,9450.912857,9503.6232,11818.86545,9745.744363,10019.1822,-387.2813772,-833.4670829,90.19144378,60.90826829,0
2/18/2018,11039.55,11274,10080,10383.43,61137.38073,9782.277143,9464.9608,11860.66727,9905.165772,10042.68206,-284.0734346,-723.5883533,71.03558813,63.61701759,0
2/19/2018,10375.01,11250,10270.33,11153,40831.41713,10103.70571,9464.07,11914.62657,10217.12433,10114.31547,-138.5850074,-606.5876841,83.2850148,77.72516028,0
2/20/2018,11147.11,11786.01,11100.59,11200.99,48153.35429,10483.86143,9468.5496,11962.45485,10463.09075,10184.42351,-19.19076946,-489.1083012,78.58084904,75.59149943,0
2/21/2018,11195.07,11304.03,10200,10437.6,68113.81875,10624.94857,9426.4136,12001.47111,10456.71806,10200.75747,13.6732149,-388.551998,56.67642292,68.56774683,0
2/22/2018,10439.02,10933.44,9679,9811.04,67060.16648,10597.94143,9343.6572,12027.44061,10295.29855,10175.61441,-10.71646362,-312.9848911,45.33901475,62.53500119,0
2/23/2018,9815.55,10435,9570.19,10131.04,57202.70237,10593.80714,9298.8588,12050.33495,10254.23391,10172.73864,-4.175995635,-251.223112,35.73153915,59.64034566,0
2/24/2018,10131.04,10496.97,9352,9694.51,40888.1563,10401.65857,9277.1388,12070.4897,10114.30293,10141.88518,-33.82701365,-207.7438923,38.37869934,57.44680851,0
2/25/2018,9694.51,9847,9274.8,9590,28373.51759,10288.31143,9249.3348,12088.95495,9983.227199,10106.27969,-65.00935524,-179.1969849,16.00666382,60.27477129,0
2/26/2018,9590,10444.32,9350,10324,34878.29276,10169.88286,9293.314,12112.04586,10068.4204,10120.32616,-30.14641084,-149.3868701,35.31000104,59.70440161,0
2/27/2018,10321,10870,10121,10569.04,30705.38512,10079.60429,9361.1544,12135.85434,10193.5753,10149.27544,17.0587611,-116.0977439,52.66435313,64.08467715,0
2/28/2018,10584.33,11098,10300,10326.76,30800.98378,10063.77,9406.2264,12158.1498,10226.87147,10160.72605,34.52128885,-85.97393731,62.38306537,56.70769866,0
3/1/2018,10325.64,11060.41,10240,10920,25092.55393,10222.19286,9515.634,12185.56475,10400.15361,10209.71147,95.13334007,-49.75248184,66.74647648,56.99158951,0
3/2/2018,10923.36,11200,10770,11039,23910.71009,10351.90143,9679.5944,12216.0598,10559.8652,10263.21396,151.0301512,-9.595955221,82.9843921,56.72259782,0
3/3/2018,11038.99,11544,11015.01,11464.48,21287.15328,10604.75429,9832.088,12249.66061,10786.0189,10340.71499,227.0442324,37.73208229,89.72972056,53.4923591,0
3/4/2018,11464.47,11565,11050.02,11515,17295.91865,10879.75429,9988.728,12278.09485,10968.26418,10416.47531,288.0421109,87.79408802,85.54035666,60.32810586,0
3/5/2018,11515,11710,11415.01,11454,15144.23106,11041.18286,10135.5272,12301.5896,11089.69813,10483.41239,327.6838436,135.7720391,79.66638061,53.15544057,0
3/6/2018,11455,11455,10555.48,10716.48,29515.57236,11062.24571,10216.8296,12312.36212,10996.3936,10498.44901,296.174388,167.8525089,59.80792849,45.56233937,0
3/7/2018,10716.48,10899,9389.31,9910,50647.67108,11002.70857,10271.8704,12312.49545,10724.7952,10460.48456,203.7776991,175.0375469,27.04545455,45.20551929,0
3/8/2018,9910,10099,9060,9271.64,41109.47323,10767.22857,10320.1808,12308.29101,10361.5064,10383.78491,78.14157296,155.6583521,17.50411862,45.10877845,0
3/9/2018,9267.07,9410,8329,9227,64112.29141,10508.37143,10333.1408,12302.1096,10077.8798,10309.15363,-24.74281726,119.5781183,2.160340728,41.37135876,0
3/10/2018,9230,9490,8667.07,8770.22,37180.01286,10123.47714,10342.3536,12281.77859,9750.96485,10209.86758,-141.5065667,67.36118128,0,41.21205206,0
3/11/2018,8770.22,9740,8450,9533.57,44325.97339,9840.415714,10345.6968,12268.07717,9696.616137,10166.23548,-170.4815092,19.79264318,22.14450862,49.52320923,0
3/12/2018,9533.57,9888.88,8780,9131.34,42230.77793,9508.607143,10310.9468,12247.53101,9555.297103,10099.46803,-223.3265894,-28.83120333,24.53050285,39.32440851,0
3/13/2018,9131.34,9474,8823,9150,40191.40936,9284.824286,10270.5476,12222.99566,9453.972827,10038.21203,-260.6958506,-75.20413279,33.64902195,36.76155043,0
3/14/2018,9151.92,9333.78,7900.28,8170,49708.09411,9036.252857,10155.7656,12187.33919,9132.97962,9917.682222,-365.1795072,-133.1992077,29.33644951,32.313695,0
3/15/2018,8184.01,8430,7650,8240.98,52291.02228,8889.015714,10070.0676,12133.71222,8909.979715,9809.507885,-437.2161098,-194.0025881,31.68610698,25.9729148,0
3/16/2018,8240.98,8611.64,7900,8260,38815.40989,8750.872857,9954.3476,12049.4799,8747.484787,9709.539634,-487.1552587,-252.6331222,38.68310384,24.62109727,0
3/17/2018,8260,8348.62,7721.99,7824.8,33110.20633,8615.812857,9819.3,11968.11424,8516.81359,9587.943529,-555.4465548,-313.1958087,5.641480928,16.81994042,0
3/18/2018,7824.01,8317.4,7322,8189.99,59488.23171,8423.872857,9729.3956,11902.8003,8435.107692,9497.752978,-573.4892904,-365.2545051,25.08403695,21.33320458,0
3/19/2018,8189,8705.23,8088.4,8600,55297.08494,8347.967143,9680.954,11839.16414,8476.330769,9439.833431,-548.3824959,-401.8801033,37.94071216,26.79078527,0
3/20/2018,8595.01,9050,8280,8909.98,44865.10584,8313.678571,9632.1116,11761.60869,8584.743077,9405.649339,-497.734808,-421.0510442,72.97532259,34.21134511,0
3/21/2018,8909.96,9177.01,8750.6,8885,39972.40537,8415.821429,9599.7312,11686.20475,8659.807308,9372.059059,-454.374086,-427.7156526,70.58387348,39.62420385,0
3/22/2018,8884.82,9100,8465.1,8722.9,40617.55681,8484.667143,9565.0472,11612.36242,8675.580481,9330.17783,-428.1550123,-427.8035245,63.55522238,43.85250677,0
3/23/2018,8720,8909,8269,8898.03,39991.00767,8575.814286,9508.0084,11537.24172,8731.192861,9302.297324,-388.7632592,-419.9954714,87.07466543,46.41926502,0
3/24/2018,8898.04,8999.95,8491,8546.86,35466.60957,8678.965714,9427.1212,11446.40364,8685.109645,9253.559433,-381.4839853,-412.2931742,62.44863503,47.51158645,0
3/25/2018,8531.25,8669.85,8365.77,8470.15,29001.76932,8718.988571,9352.8568,11339.00455,8631.369734,9203.016888,-377.5527709,-405.3450935,44.09810285,36.01263758,0
3/26/2018,8470.14,8514.89,7831,8134.23,44033.59566,8652.45,9241.426,11230.66323,8507.084801,9134.062896,-396.9672009,-403.669515,15.55314784,36.65198592,0
3/27/2018,8134.22,8215.94,7730,7795.51,37427.64805,8493.24,9111.6864,11118.93859,8329.1911,9047.704644,-434.6744928,-409.8705106,12.16391735,33.29897339,0
3/28/2018,7795.51,8109,7728,7949.3,26401.33167,8359.568571,8971.0792,11024.53556,8234.218325,8976.839829,-446.9955393,-417.2955163,22.97825965,46.58242745,0
3/29/2018,7949.3,7975,6941.11,7090.14,54620.91513,8126.317143,8794.0848,10929.59778,7948.198744,8855.117259,-520.0917946,-437.854772,7.269779293,35.67566491,0
3/30/2018,7090.16,7292.43,6600.1,6840.23,65306.03198,7832.345714,8609.534,10842.1997,7671.206558,8725.124533,-591.369809,-468.5577794,7.635251538,33.28884149,0
3/31/2018,6840.24,7223.36,6777,6923.91,36868.53909,7600.495714,8457.8312,10777.52596,7484.382418,8608.917143,-633.7998224,-501.606188,11.74907727,38.43960528,0
